AREA,PERIMETER,COUNT,GBCITY,GBPROV,GBCNTY,ENAME,A101001,A101002,A101003,A101004,A101005,A101006,A101007,A101008,A101009,A101010,A101011,A101012,A101013,A101014,A101015,A101016,A102001,A102002,A102003,A102004,A102005,A102006,A102007,A102008,A102009,A102010,A102011,A102012,A102013,A102014,A102015,A102016,A102017,A102018,A103001,A103002,A103003,A103004,A103005,A103006,A103007,A103008,A103009,A103010,A103011,A103012,A103013,A103014,A103015,A103016,A103017,A103018,A104001,A104002,A104003,A104004,A104005,A104006,A104007,A104008,A104009,A104010,A104011,A104012,A104013,A104014,A104015,A105001,A105002,A105003,A105004,A105005,A105006,A105007,A105008,A105009,A105010,A105011,A105012,A106001,A106002,A106003,A106004,A106005,A106006,A106007,A106008,A106009,A106010,A106011,A106012,A106013,A106014,A106015,A106016,A106017,A106018,A106019,A106020,A106021,A106022,A106023,A106024,A106025,A106026,A106027,A106028,A106029,A106030,A106031,A106032,A106033,A106034,A106035,A106036,A106037,A106038,A106039,A106040,A106041,A106042,A106043,A106044,A106045,A106046,A106047,A106048,A106049,A106050,A106051,A106052,A106053,A106054,A106055,A106056,A106057,A106058,A106059,A106060,A106061,A106062,A106063,A106064,A106065,A106066,A106067,A106068,A106069,A106070,A106071,A106072,A106073,A106074,A106075,A106076,A106077,A106078,A106079,A106080,A106081,A106082,A106083,A106084,A106085,A106086,A106087,A106088,A106089,A106090,A106091,A106092,A106093,A106094,A106095,A106096,A106097,A106098,A106099,A106100,A106101,A106102,A106103,A106104,A106105,A106106,A106107,A106108,A106109,A106110,A106111,A106112,A106113,A106114,A106115,A106116,A106117,A106118,A106119,A106120,A106121,A106122,A106123,A106124,A106125,A106126,A106127,A106128,A106129,A106130,A106131,A106132,A106133,A106134,A106135,A106136,A106137,A106138,A106139,A106140,A106141,A106142,A106143,A106144,A106145,A106146,A106147,A106148,A106149,A106150,A106151,A106152,A106153,A106154,A106155,A106156,A106157,A106158,A106159,A106160,A106161,A106162,A106163,A106164,A106165,A106166,A106167,A106168,testcount,testsum,testmean
0.134,1.692,1,1401,14,140123,Loufan Xian,28348,27799,549,109412,58302,51110,114.07,107777,56833,50944,111.56,1635,1469,166,884.94,3.88,28348,27799,549,109412,58302,51110,114,107777,56833,50944,112,1635,1469,166,885,4,0,0,100972,54217,46755,92715,49634,43081,4860,2824,2036,3397,1759,1638,0,0,0,4.81,5.21,4.35,13300,6909,6391,7373,3640,3733,593,354,239,3533,1787,1746,1801,1128,673,106015,56543,49472,87553,45659,41894,18462,10884,7578,17.41,19.25,15.32,109412,58302,51110,109289,58261,51028,21,3,18,8,4,4,4,1,3,3,0,3,13,6,7,8,3,5,20,1,19,9,6,3,4,2,2,7,2,5,4,1,3,0,0,0,0,0,0,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940,5513,2.841752577
0.155,2.121,1,1401,14,140181,Gujiao Shi,58221,56521,1700,205702,110105,95597,115.18,200108,104870,95238,110.11,5594,5235,359,1458.22,3.54,58221,56521,1700,205702,110105,95597,115,200108,104870,95238,110,5594,5235,359,1458,4,0,0,162625,86543,76082,154222,82304,71918,5499,2820,2679,2900,1416,1484,4,3,1,3.38,3.26,3.52,48576,26382,22194,21967,11322,10645,421,204,217,17636,9821,7815,8552,5035,3517,202798,108686,94112,91911,48929,42982,110887,59757,51130,54.68,54.98,54.33,205702,110105,95597,204849,109656,95193,62,22,40,115,60,55,14,6,8,13,10,3,96,48,48,12,4,8,18,9,9,4,3,1,13,6,7,177,82,95,21,9,12,14,7,7,4,3,1,249,155,94,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,24,17,7,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,14226,6.359409924
0.012,0.442,1,1402,14,140202,Cheng Qu,180794,177291,3503,537598,268243,269355,99.59,515799,257142,258657,99.41,21799,11101,10698,103.77,2.91,180794,177291,3503,537598,268243,269355,100,515799,257142,258657,99,21799,11101,10698,104,3,0,0,370561,186766,183795,350628,176837,173791,14224,7091,7133,5661,2816,2845,48,22,26,3.84,3.8,3.88,181261,88568,92693,4600,2197,2403,136376,66197,70179,23166,11287,11879,17119,8887,8232,531889,265405,266484,47561,22399,25162,484328,243006,241322,91.06,91.56,90.56,537598,268243,269355,529778,264344,265434,599,212,387,5556,2788,2768,34,13,21,60,42,18,36,21,15,50,22,28,36,20,16,12,8,4,120,53,67,1149,636,513,13,5,8,13,7,6,2,0,2,52,25,27,1,1,0,3,1,2,3,0,3,6,3,3,1,0,1,2,2,0,10,7,3,0,0,0,1,1,0,2,0,2,3,3,0,1,1,0,0,0,0,0,0,0,2,1,1,2,0,2,1,1,0,1,0,1,0,0,0,3,2,1,2,0,2,2,2,0,26,17,9,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,4,1,3,0,0,0,0,0,0,3,2,1,1,0,1,1,1,0,0,0,0,0,0,0,170,7590,44.64705882
0.011,0.53,1,1402,14,140203,Kuang Qu,144850,143100,1750,460714,237585,223129,106.48,453638,233031,220607,105.63,7076,4554,2522,180.57,3.17,144850,143100,1750,460714,237585,223129,106,453638,233031,220607,106,7076,4554,2522,181,3,0,0,343743,184788,158955,326180,176160,150020,13354,6624,6730,4201,1999,2202,8,5,3,3.88,3.58,4.23,130325,59421,70904,11807,5041,6766,76892,36304,40588,26775,11338,15437,14851,6738,8113,456505,235581,220924,78167,33173,44994,378338,202408,175930,82.88,85.92,79.63,460714,237585,223129,459352,236974,222378,283,68,215,548,278,270,23,12,11,12,10,2,48,19,29,23,6,17,20,11,9,6,2,4,57,31,26,257,131,126,11,5,6,0,0,0,0,0,0,62,32,30,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,4167,26.04375
0.074,2.024,1,1402,14,140211,Nanjiao Qu,122340,120181,2159,422517,223583,198934,112.39,410058,214326,195732,109.5,12459,9257,3202,289.1,3.41,122340,120181,2159,422517,223583,198934,112,410058,214326,195732,110,12459,9257,3202,289,3,0,0,235324,122854,112470,209187,111160,98027,9920,3851,6069,16216,7842,8374,1,1,0,4.22,3.13,5.4,197113,104580,92533,810,389,421,73624,39355,34269,51895,25742,26153,70784,39094,31690,406300,215740,190560,338400,177139,161261,67900,38601,29299,16.71,17.89,15.38,422517,223583,198934,421046,222869,198177,437,175,262,328,165,163,7,4,3,14,8,6,96,64,32,67,30,37,12,5,7,15,10,5,28,14,14,374,194,180,13,7,6,0,0,0,5,4,1,27,11,16,0,0,0,0,0,0,3,0,3,7,2,5,2,0,2,0,0,0,23,15,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,22045,20.54520037
0.122,1.784,1,1402,14,140212,Xinrong Qu,32527,31692,835,105915,56343,49572,113.66,103275,53756,49519,108.56,2640,2587,53,4881.13,3.26,32527,31692,835,105915,56343,49572,114,103275,53756,49519,109,2640,2587,53,4881,3,0,0,78598,41542,37056,71523,38265,33258,4006,1840,2166,3069,1437,1632,0,0,0,5.1,4.43,5.85,31323,16641,14682,5784,2897,2887,12406,6447,5959,1653,899,754,11480,6398,5082,102846,54906,47940,88985,46763,42222,13861,8143,5718,13.48,14.83,11.93,105915,56343,49572,105678,56256,49422,63,14,49,7,2,5,7,2,5,5,2,3,3,0,3,5,2,3,17,1,16,5,2,3,10,7,3,95,46,49,5,1,4,0,0,0,5,3,2,4,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1754,8087,4.610604333
0.176,2.783,1,1402,14,140221,Yanggao Xian,75396,75276,120,262565,134091,128474,104.37,262052,133709,128343,104.18,513,382,131,291.6,3.48,75396,75276,120,262565,134091,128474,104,262052,133709,128343,104,513,382,131,292,3,0,0,256940,132927,124013,237545,124391,113154,15817,6906,8911,3575,1628,1947,3,2,1,6.16,5.2,7.19,21442,8070,13372,9284,3910,5374,2328,1339,989,2080,983,1097,7750,1838,5912,258987,132461,126526,223422,111940,111482,35565,20521,15044,13.73,15.49,11.89,262565,134091,128474,262318,134010,128308,112,39,73,32,16,16,7,0,7,4,2,2,5,0,5,30,6,24,6,1,5,3,1,2,7,4,3,20,9,11,4,0,4,0,0,0,4,3,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537,3778,1.489160426
0.17,2.25,1,1402,14,140222,Tianzhen Xian,53153,53125,28,187832,95545,92287,103.53,187708,95430,92278,103.42,124,115,9,1277.78,3.53,53153,53125,28,187832,95545,92287,104,187708,95430,92278,103,124,115,9,1278,4,0,0,186112,95502,90610,168778,87837,80941,14020,6029,7991,3314,1636,1678,0,0,0,7.53,6.31,8.82,15740,6072,9668,11090,4439,6651,866,475,391,746,326,420,3038,832,2206,184518,93909,90609,161881,80782,81099,22637,13127,9510,12.27,13.98,10.5,187832,95545,92287,187572,95470,92102,125,39,86,19,5,14,12,3,9,4,2,2,20,5,15,21,3,18,9,6,3,3,3,0,9,4,5,18,3,15,4,1,3,0,0,0,1,0,1,8,1,7,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452,1726,0.703915171
0.13,1.62,1,1402,14,140223,Guangling Xian,46015,45933,82,162548,85683,76865,111.47,161900,85130,76770,110.89,648,553,95,582.11,3.52,46015,45933,82,162548,85683,76865,111,161900,85130,76770,111,648,553,95,582,4,0,0,156913,83226,73687,146178,78244,67934,9154,4234,4920,1581,748,833,0,0,0,5.83,5.09,6.68,14789,6691,8098,11343,5624,5719,643,381,262,386,195,191,2417,491,1926,160967,84935,76032,142778,73984,68794,18189,10951,7238,11.3,12.89,9.52,162548,85683,76865,162228,85657,76571,20,4,16,9,2,7,7,2,5,2,1,1,28,1,27,50,0,50,6,0,6,5,0,5,14,1,13,10,5,5,3,0,3,0,0,0,64,4,60,11,2,9,0,0,0,0,0,0,10,0,10,1,0,1,57,3,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,12,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,2595,1.387700535
0.28,2.534,1,1402,14,140224,Lingqiu Xian,60617,60219,398,209713,109842,99871,109.98,208020,108356,99664,108.72,1693,1486,207,717.87,3.45,60617,60219,398,209713,109842,99871,110,208020,108356,99664,109,1693,1486,207,718,3,0,0,203725,106840,96885,194511,101655,92856,8180,4688,3492,1031,495,536,3,2,1,4.02,4.39,3.6,14168,7690,6478,10995,5769,5226,642,393,249,1124,752,372,1407,776,631,208679,109345,99334,185487,94971,90516,23192,14374,8818,11.11,13.15,8.88,209713,109842,99871,209581,109800,99781,48,11,37,16,7,9,12,3,9,1,0,1,10,3,7,9,4,5,2,1,1,1,0,1,6,3,3,18,9,9,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4038,3505,0.868003962
0.205,1.982,1,1402,14,140225,Hunyuan Xian,88253,87897,356,325763,165826,159937,103.68,322939,164357,158582,103.64,2824,1469,1355,108.41,3.67,88253,87897,356,325763,165826,159937,104,322939,164357,158582,104,2824,1469,1355,108,4,0,0,323385,164790,158595,306821,156465,150356,13743,6905,6838,2820,1419,1401,1,1,0,4.25,4.19,4.31,16121,7941,8180,11796,5956,5840,1022,577,445,1179,620,559,2124,788,1336,322942,164406,158536,277549,139052,138497,45393,25354,20039,14.06,15.42,12.64,325763,165826,159937,325443,165723,159720,123,36,87,24,9,15,15,7,8,11,3,8,17,5,12,29,7,22,15,4,11,9,2,7,42,20,22,10,3,7,5,1,4,0,0,0,1,0,1,4,0,4,4,3,1,0,0,0,0,0,0,3,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2949,3629,1.23058664
0.14,2.027,1,1402,14,140226,Zuoyun Xian,47261,45664,1597,163366,88233,75133,117.44,157651,82808,74843,110.64,5715,5425,290,1870.69,3.45,47261,45664,1597,163366,88233,75133,117,157651,82808,74843,111,5715,5425,290,1871,3,0,0,115811,60347,55464,106758,55650,51108,4220,2290,1930,4833,2407,2426,0,0,0,3.64,3.79,3.48,51775,30176,21599,13572,6946,6626,3573,2063,1510,7386,4168,3218,27244,16999,10245,158533,85826,72707,128120,68792,59328,30413,17034,13379,19.18,19.85,18.4,163366,88233,75133,162229,87625,74604,134,39,95,41,29,12,9,6,3,4,3,1,52,29,23,17,9,8,7,6,1,12,10,2,4,3,1,645,320,325,5,4,1,0,0,0,0,0,0,198,145,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,12493,6.196924603
0.157,1.931,1,1402,14,140227,Datong Xian,48396,47983,413,162977,85767,77210,111.08,160727,83753,76974,108.81,2250,2014,236,853.39,3.35,48396,47983,413,162977,85767,77210,111,160727,83753,76974,109,2250,2014,236,853,3,0,0,136219,73626,62593,120319,65600,54719,9291,4801,4490,6608,3225,3383,1,0,1,6.82,6.52,7.17,36049,16942,19107,16059,8093,7966,8079,4255,3824,6362,2725,3637,5549,1869,3680,156368,82542,73826,127389,65277,62112,28979,17265,11714,18.53,20.92,15.87,162977,85767,77210,162420,85533,76887,128,44,84,281,140,141,4,1,3,6,0,6,15,2,13,17,4,13,11,5,6,2,1,1,6,4,2,52,24,28,6,1,5,7,2,5,0,0,0,20,6,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255,7022,3.113968958
0.003,0.231,1,1403,14,140302,Cheng Qu,51269,49744,1525,164288,84865,79423,106.85,152220,76227,75993,100.31,12068,8638,3430,251.84,3.06,51269,49744,1525,164288,84865,79423,107,152220,76227,75993,100,12068,8638,3430,252,3,0,0,134046,68167,65879,119270,61305,57965,14013,6502,7511,746,346,400,17,14,3,10.45,9.54,11.4,44255,23200,21055,296,142,154,29062,13526,15536,5929,3181,2748,8968,6351,2617,163525,84505,79020,14660,8970,5690,148865,75535,73330,91.04,89.39,92.8,164288,84865,79423,162696,84062,78634,96,40,56,1080,542,538,5,4,1,10,5,5,10,3,7,12,7,5,16,10,6,6,3,3,33,18,15,311,165,146,0,0,0,1,0,1,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1856,39.4893617
0.004,0.329,1,1403,14,140303,Kuang Qu,67737,66073,1664,217592,114455,103137,110.97,212125,109537,102588,106.77,5467,4918,549,895.81,3.21,67737,66073,1664,217592,114455,103137,111,212125,109537,102588,107,5467,4918,549,896,3,0,0,187433,100153,87280,170620,92359,78261,14089,6446,7643,2713,1338,1375,11,10,1,7.52,6.44,8.76,44248,20748,23500,23,7,16,20065,9004,11061,18171,8225,9946,5989,3512,2477,214868,113107,101761,24303,11435,12868,190565,101672,88893,88.69,89.89,87.35,217592,114455,103137,216940,114119,102821,58,21,37,316,170,146,6,3,3,1,0,1,23,15,8,33,19,14,10,8,2,3,0,3,17,10,7,146,72,74,4,3,1,2,1,1,3,3,0,21,6,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,705,12.15517241
0.061,1.371,1,1403,14,140311,Jiao Qu,79340,76628,2712,273437,146889,126548,116.07,259854,134583,125271,107.43,13583,12306,1277,963.66,3.39,79340,76628,2712,273437,146889,126548,116,259854,134583,125271,107,13583,12306,1277,964,3,0,0,224024,117783,106241,216037,114135,101902,5851,2586,3265,2133,1060,1073,3,2,1,2.61,2.2,3.07,55264,31692,23572,2728,1520,1208,34953,19749,15204,8590,4186,4404,8993,6237,2756,271301,145827,125474,182032,91796,90236,89269,54031,35238,32.9,37.05,28.08,273437,146889,126548,272826,146570,126256,115,32,83,159,97,62,12,4,8,3,2,1,40,31,9,14,6,8,19,3,16,18,9,9,18,10,8,127,71,56,5,2,3,1,1,0,2,2,0,50,33,17,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,2,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,2,2,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,9900,11.31428571
0.145,2.016,1,1403,14,140321,Pingding Xian,94209,93036,1173,323633,168106,155527,108.09,318084,164518,153566,107.13,5549,3588,1961,182.97,3.42,94209,93036,1173,323633,168106,155527,108,318084,164518,153566,107,5549,3588,1961,183,3,0,0,299149,152704,146445,288972,147831,141141,7902,3756,4146,2270,1112,1158,5,5,0,2.64,2.46,2.83,32386,19158,13228,18768,10612,8156,22,10,12,9134,5648,3486,4462,2888,1574,321358,166989,154369,265932,133619,132313,55426,33370,22056,17.25,19.98,14.29,323633,168106,155527,323445,168058,155387,20,5,15,13,6,7,7,2,5,9,5,4,36,10,26,9,0,9,26,0,26,2,0,2,6,2,4,33,15,18,3,0,3,0,0,0,5,1,4,12,1,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076,9287,4.473506744
0.257,2.767,1,1403,14,140322,Yu Xian,81944,80808,1136,294176,153689,140487,109.4,288733,148796,139937,106.33,5443,4893,550,889.64,3.57,81944,80808,1136,294176,153689,140487,109,288733,148796,139937,106,5443,4893,550,890,4,0,0,277711,142949,134762,269828,139116,130712,6626,3203,3423,1257,630,627,0,0,0,2.39,2.24,2.54,23091,13943,9148,14312,7851,6461,1320,832,488,1727,1141,586,5732,4119,1613,292919,153059,139860,249205,127270,121935,43714,25789,17925,14.92,16.85,12.82,294176,153689,140487,293383,153369,140014,389,237,152,19,3,16,3,0,3,4,2,2,45,11,34,21,1,20,184,8,176,6,1,5,10,5,5,45,27,18,19,3,16,3,0,3,1,0,1,18,13,5,2,0,2,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,8,5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3704,6435,1.737311015
0.008,0.358,1,1404,14,140402,Cheng Qu,102692,97384,5308,361508,182062,179446,101.46,323451,161587,161864,99.83,38057,20475,17582,116.45,3.32,102692,97384,5308,361508,182062,179446,101,323451,161587,161864,100,38057,20475,17582,116,3,0,0,287447,145343,142104,271736,137650,134086,11542,5400,6142,4124,2270,1854,45,23,22,4.02,3.72,4.32,85603,42119,43484,1759,825,934,52331,24539,27792,20791,10290,10501,10722,6465,4257,357339,179769,177570,80463,39288,41175,276876,140481,136395,77.48,78.15,76.81,361508,182062,179446,342270,172344,169926,112,45,67,18604,9414,9190,13,5,8,28,9,19,26,20,6,35,17,18,22,9,13,31,12,19,32,12,20,283,146,137,3,1,2,1,1,0,7,3,4,11,8,3,0,0,0,0,0,0,0,0,0,6,3,3,1,1,0,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,5,4,1,1,1,0,0,0,0,0,0,0,3,1,2,2,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,3957,35.01769912
0.028,0.957,1,1404,14,140411,Jiao Qu,77041,74892,2149,287473,150184,137289,109.39,274330,139704,134626,103.77,13143,10480,2663,393.54,3.66,77041,74892,2149,287473,150184,137289,109,274330,139704,134626,104,13143,10480,2663,394,4,0,0,249597,127785,121812,242141,124447,117694,3985,1639,2346,3459,1693,1766,12,6,6,1.6,1.28,1.93,41861,24038,17823,407,241,166,19022,10611,8411,14806,7814,6992,7626,5372,2254,284002,148485,135517,169942,85467,84475,114060,63018,51042,40.16,42.44,37.66,287473,150184,137289,286653,149779,136874,90,31,59,393,199,194,11,8,3,16,5,11,41,25,16,15,13,2,6,2,4,11,3,8,21,8,13,191,97,94,5,3,2,1,1,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,11137,27.56683168
0.048,1.067,1,1404,14,140421,Changzhi Xian,82393,82149,244,323236,162923,160313,101.63,320657,161128,159529,101,2579,1795,784,228.95,3.9,82393,82149,244,323236,162923,160313,102,320657,161128,159529,101,2579,1795,784,229,4,0,0,311436,154707,156729,305669,151695,153974,3638,1988,1650,2123,1019,1104,6,5,1,1.17,1.29,1.05,15438,10204,5234,9835,6416,3419,2894,1981,913,1330,803,527,1379,1004,375,321107,161899,159208,292255,142971,149284,28852,18928,9924,8.99,11.69,6.23,323236,162923,160313,322777,162707,160070,27,11,16,373,183,190,2,1,1,3,1,2,6,1,5,4,0,4,2,0,2,2,2,0,2,1,1,9,4,5,3,1,2,1,0,1,0,0,0,15,3,12,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,689,5807,8.428156749
